Customer_ID,Invoice ID,month,total_income,total_cost,total_profit
1,750-67-8428,January,522.8299999999999,470.547,52.2829999999999
2,226-31-3081,March,76.39999999999999,68.76,7.639999999999986
3,631-41-3108,March,324.31,291.879,32.43099999999998
4,123-19-1176,January,465.76,419.184,46.575999999999965
5,373-73-7910,February,604.1700000000001,543.753,60.41700000000003
6,699-14-3026,March,597.73,537.957,59.773000000000025
7,355-53-5943,February,413.04,371.736,41.30400000000003
8,315-22-5665,February,735.6,662.04,73.56000000000006
9,665-32-9167,January,72.52,65.268,7.251999999999995
10,692-92-5582,February,164.52,148.068,16.451999999999998
11,351-62-0822,February,57.92,52.128,5.792000000000002
12,529-56-3974,March,102.04,91.836,10.204000000000008
13,365-64-0515,February,234.75,211.275,23.474999999999994
14,252-56-2699,February,431.9,388.71000000000004,43.18999999999994
15,829-34-3910,March,713.8,642.4200000000001,71.37999999999988
16,299-46-1805,January,562.3199999999999,506.08799999999997,56.23199999999997
17,656-95-9349,March,482.51000000000005,434.259,48.25100000000003
18,765-26-6951,January,435.65999999999997,392.09400000000005,43.56599999999992
19,329-62-1586,January,164.01,147.609,16.400999999999982
20,319-50-3348,March,80.6,72.54,8.059999999999988
21,300-71-4605,February,430.20000000000005,387.18000000000006,43.01999999999998
22,371-85-5789,March,263.94,237.546,26.394000000000005
23,273-16-6619,March,66.4,59.76,6.640000000000008
24,636-48-8204,February,172.8,155.51999999999998,17.28000000000003
25,549-59-1358,March,265.89,239.301,26.589
26,227-03-5010,March,420.72,378.648,42.072
27,649-29-6775,February,33.52,30.168,3.352000000000004
28,189-17-4241,March,175.34,157.806,17.533999999999992
29,145-94-9061,January,441.8,397.62,44.18000000000001
30,848-62-7243,March,224.01,201.609,22.400999999999982
31,871-79-8483,February,470.65,423.585,47.065
32,149-71-6266,January,702.6299999999999,632.3670000000001,70.2629999999998
33,640-49-2076,January,670.24,603.216,67.024
34,595-11-5460,March,193.16,173.844,19.316000000000003
35,183-56-6882,February,397.68,357.912,39.76800000000003
36,232-16-2483,January,68.12,61.308,6.812000000000005
37,129-29-8530,March,313.09999999999997,281.78999999999996,31.310000000000002
38,272-65-1806,January,547.9200000000001,493.12800000000004,54.79200000000003
39,333-73-7901,March,439.36,395.424,43.936000000000035
40,777-82-7220,March,240.96,216.864,24.096000000000004
41,280-35-5823,January,86.72,78.048,8.671999999999997
42,554-53-8700,February,112.22,100.998,11.221999999999994
43,354-25-5821,February,414.72,373.248,41.47200000000004
44,228-96-1411,March,789.6,710.64,78.96000000000004
45,617-15-4209,March,30.74,27.666,3.073999999999998
46,132-32-9879,March,375.84,338.256,37.584
47,370-41-7321,February,510.21,459.189,51.02099999999996
48,727-46-3608,February,180.09,162.08100000000002,18.008999999999986
49,669-54-1719,February,113.58,102.222,11.358000000000004
50,574-22-5561,March,826.3,743.6700000000001,82.62999999999988
51,326-78-5178,February,639.8000000000001,575.82,63.98000000000002
52,162-48-8011,February,222.95000000000002,200.655,22.295000000000016
53,616-24-2851,March,71.48,64.332,7.14800000000001
54,778-71-5554,January,15.43,13.887,1.5429999999999993
55,242-55-6721,March,32.32,29.088,3.2319999999999993
56,399-46-5918,February,687.84,619.056,68.78399999999999
57,106-35-6779,March,88.68,79.812,8.86800000000001
58,635-40-6220,February,716.8,645.12,71.67999999999995
59,817-48-8732,January,723.5,651.15,72.35000000000002
60,120-06-4233,March,183.66,165.29399999999998,18.366000000000014
61,285-68-5083,February,74.22,66.798,7.421999999999997
62,803-83-5989,February,334.38,300.942,33.43799999999999
63,347-34-2234,February,495.63,446.067,49.56299999999999
64,199-75-8169,March,158.1,142.29,15.810000000000002
65,853-23-2453,February,302.96,272.664,30.295999999999992
66,877-22-3308,March,158.7,142.82999999999998,15.870000000000005
67,838-78-4295,February,66.94,60.246,6.6939999999999955
68,109-28-2512,January,585.66,527.094,58.56599999999992
69,232-11-3025,January,787.6999999999999,708.9300000000001,78.76999999999987
70,382-03-4532,February,18.33,16.497,1.8329999999999984
71,393-65-2792,January,894.8000000000001,805.3199999999999,89.48000000000013
72,796-12-2025,February,621.1999999999999,559.08,62.11999999999989
73,510-95-6347,March,145.56,131.004,14.556000000000012
74,841-35-6630,March,455.46,409.914,45.54599999999999
75,287-21-9091,January,672.03,604.827,67.20299999999997
76,732-94-0499,January,416.5,374.85,41.64999999999998
77,263-10-3913,January,441.36,397.22400000000005,44.13599999999997
78,381-20-0914,January,180.09,162.08100000000002,18.008999999999986
79,829-49-1914,March,783.1,704.79,78.31000000000006
80,756-01-7507,January,101.89999999999999,91.71,10.189999999999998
81,870-72-4431,January,595.14,535.626,59.51400000000001
82,847-38-7188,January,290.04,261.036,29.00400000000002
83,480-63-2856,January,154.0,138.6,15.400000000000006
84,787-56-0757,February,321.44,289.296,32.144000000000005
85,360-39-5055,March,244.54999999999998,220.095,24.454999999999984
86,730-50-9884,March,581.4200000000001,523.278,58.14200000000005
87,362-58-8315,March,382.59999999999997,344.34,38.25999999999999
88,633-44-8566,March,345.66,311.094,34.56600000000003
